coursename,专题,世代,中国,交流,人文,代数,体系,修养,健康,几何,分析,原理,名篇,名著,国际,基本,基础,外国语,大学,学术,实践,实验,强化,形式,微积分,心理,思想,技巧,数据,数据库,数理,文学,时代,机械,材料,构造,概率,概论,歌曲,毛泽东思想,沟通,法学,法律,演唱,物理,特色,理学院,理论,电气,社会主义,社科,算法,系统,纲要,结构,统计,综合,网络,自动机,舞台,航天,英语,表演,计算,计算机,训练,设计,语言,赏析,软件,辅导,近平,近现代史,道德,阅读,马克思主义
微积分1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63728775399963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633966596945336,0.2633966596945336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267933193890671,0.0,0.2633966596945336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633966596945336,0.0,0.0,0.19708352517702638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
代数与几何,0.0,0.0,0.0,0.0,0.0,0.5630306215850128,0.0,0.0,0.0,0.5630306215850128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20677739479182916,0.20677739479182916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4135547895836583,0.0,0.20677739479182916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20677739479182916,0.0,0.0,0.15471881055650738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大学物理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374300658423006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22212459485351635,0.22212459485351635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374300658423006,0.0,0.4442491897070327,0.0,0.22212459485351635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22212459485351635,0.0,0.0,0.16620217672091572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
概率论与数理统计,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4906124378389155,0.0,0.0,0.18018125100053986,0.18018125100053986,0.0,0.4906124378389155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3603625020010797,0.0,0.18018125100053986,0.0,0.0,0.0,0.0,0.0,0.0,0.4906124378389155,0.0,0.0,0.0,0.0,0.18018125100053986,0.0,0.0,0.13481855145458393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大学物理实验,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45986186799561035,0.0,0.0,0.5175246557712313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19006497330404157,0.19006497330404157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45986186799561035,0.0,0.38012994660808314,0.0,0.19006497330404157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19006497330404157,0.0,0.0,0.14221393314129155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
微积分2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716159176059122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2959949153262274,0.2959949153262274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2959949153262274,0.0,0.2959949153262274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2959949153262274,0.0,0.0,0.2214747955217862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
近世代数,0.0,0.8763665240223334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48164480229004125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
算法设计与分析,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687304979720638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505362336396815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125702325949304,0.0,0.0,0.5687304979720638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
软件构造,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6590864811883533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36222923767899845,0.0,0.0,0.0,0.0,0.0,0.6590864811883533,0.0,0.0,0.0,0.0,0.0,0.0
形式语言与自动机,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550310784663995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550310784663995,0.0,0.0,0.0,0.0,0.3024468893004095,0.0,0.0,0.0,0.550310784663995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
数据结构与算法,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687304979720638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505362336396815,0.0,0.0,0.5687304979720638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125702325949304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
