 ,微积分1,代数与几何,大学物理,概率论与数理统计,大学物理实验,微积分2,近世代数,算法设计与分析,软件构造,形式语言与自动机,数据结构与算法,计算机系统,计算机网络,数据库系统,	综合英语,	学术英语阅读,国际交流英语,学术英语强化训练,心理与心理健康,沟通与交流,歌曲演唱技巧与舞台表演实践,文学名篇名著赏析,思想道德修养与法律基础,中国近现代史纲要,毛泽东思想和中国特色社会主义理论体系概论,马克思主义基本原理概论,习近平新时代中国特色社会主义思想专题辅导
微积分1,1.0000000000000002,0.46620832930371825,0.5008107214435957,0.40624363260492613,0.42852785601849774,0.967832938157206,0.09492425551851325,0.061602443305211974,0.07138941508396399,0.05960729912215059,0.061602443305211974,0.07897214810116268,0.07489440831955012,0.07489440831955012,0.37460234836327266,0.3317328881180877,0.3317328881180877,0.29398468744989326,0.232809505016825,0.30894090610473207,0.21856421220881264,0.2502606745099936,0.2584827051477842,0.3216301524549211,0.23548784193497702,0.27085320753997166,0.22077582381852984
代数与几何,0.46620832930371825,1.0,0.39315736343816776,0.31891824329979895,0.3364122907480895,0.4014966617080886,0.07451951092103934,0.04836049460245849,0.05604367680248506,0.04679422296907503,0.04836049460245849,0.06199643937934045,0.05879524309363695,0.05879524309363695,0.29407851172938126,0.260424192362114,0.2604241923621141,0.23079027596658874,0.1827651990195433,0.2425315331752834,0.17158204833606971,0.1964650969911156,0.20291973493964768,0.2524931223055584,0.18486780552545917,0.2126310967309821,0.17331825595342917
大学物理,0.5008107214435957,0.39315736343816776,1.0000000000000002,0.34258863574367004,0.8556682947666512,0.4312960969777754,0.08005041454691997,0.05194985303544037,0.060203287774207505,0.05026733134419792,0.05194985303544037,0.06659786962380641,0.06315907773495257,0.06315907773495257,0.31590527745441493,0.2797531049113238,0.2797531049113238,0.2479197331836946,0.19633019279698619,0.2605324368265557,0.18431701883639354,0.21104690924238675,0.21798061609504943,0.27123338386134715,0.19858885660660194,0.22841276369777813,0.18618208930976812
概率论与数理统计,0.40624363260492613,0.31891824329979895,0.34258863574367004,1.0000000000000002,0.2931422337532194,0.3498553159156186,0.06493465456037284,0.04214026598627091,0.04883522111838078,0.040775451507426126,0.04214026598627091,0.05402232684184154,0.05123287516102788,0.05123287516102788,0.2562535145058838,0.2269278845390751,0.22692788453907514,0.20110554485070337,0.1592575543949412,0.21133661684148608,0.14951280409327314,0.17119534265067748,0.1768197714790459,0.22001692540835496,0.16108971922601084,0.18528203747404537,0.15102569703211413
大学物理实验,0.42852785601849774,0.3364122907480895,0.8556682947666512,0.2931422337532194,1.0,0.36904639584048515,0.06849660171072651,0.04445184216021339,0.0515140445891021,0.043012161693760056,0.04445184216021339,0.05698568553609417,0.05404322034450121,0.05404322034450121,0.27031013006720495,0.23937586223514837,0.23937586223514848,0.21213705533229502,0.167993521281805,0.2229293459507791,0.15771422920420952,0.18058614894720523,0.18651910206623493,0.23208580705242737,0.16992618829223005,0.19544556001621577,0.15931011087578156
微积分2,0.967832938157206,0.4014966617080886,0.4312960969777754,0.3498553159156186,0.36904639584048515,0.9999999999999998,0.106672184101318,0.06922642835015935,0.08022464634696867,0.0669843629640085,0.06922642835015935,0.08874582660783474,0.08416342133822892,0.08416342133822892,0.3567909079728559,0.3159597874205818,0.3159597874205818,0.28000642287390304,0.22173997318114003,0.2942515093156081,0.2081720097726964,0.23836138155153744,0.24619247441428993,0.306337412531529,0.22429096162277667,0.2579747891805304,0.21027846457139693
近世代数,0.09492425551851325,0.07451951092103934,0.08005041454691997,0.06493465456037284,0.06849660171072651,0.106672184101318,1.0,0.15054782787993748,0.1744658295655736,0.14567197220033376,0.15054782787993748,0.1929969774208108,0.18303154693066262,0.18303154693066262,0.0781326475044168,0.06919115410301013,0.06919115410301015,0.06131782690786436,0.0485582193241284,0.06443731872435526,0.045587008795340486,0.05219809526325975,0.05391300448473112,0.06708397701816438,0.04911685318010491,0.056493180789242745,0.04604829546658991
算法设计与分析,0.061602443305211974,0.04836049460245849,0.05194985303544037,0.04214026598627091,0.04445184216021339,0.06922642835015935,0.15054782787993748,1.0000000000000002,0.1132220770740089,0.0945358945362422,0.35309124135289666,0.12524812857051085,0.11878092096979753,0.11878092096979753,0.05070529088572339,0.04490258179608871,0.04490258179608872,0.0397930743312895,0.03151254583538207,0.04181751283456514,0.029584336578983857,0.033874695003195274,0.03498760968988114,0.04353509931024571,0.0318750792074184,0.036662051734729514,0.02988369511340555
软件构造,0.07138941508396399,0.05604367680248506,0.060203287774207505,0.04883522111838078,0.0515140445891021,0.08022464634696867,0.1744658295655736,0.1132220770740089,1.0,0.10955510614967182,0.1132220770740089,0.14514668833360037,0.13765201534548482,0.13765201534548482,0.05876099816462608,0.052036394632928626,0.05203639463292863,0.046115123824367985,0.03651904201020863,0.04846119116955843,0.03428449215166256,0.03925647316364129,0.040546200068257994,0.0504516559510842,0.03693917218669955,0.042486665929027,0.03463141070758531
形式语言与自动机,0.05960729912215059,0.04679422296907503,0.05026733134419792,0.040775451507426126,0.043012161693760056,0.0669843629640085,0.14567197220033376,0.0945358945362422,0.10955510614967182,1.0,0.0945358945362422,0.12119166486957131,0.11493391343541431,0.11493391343541431,0.049063077351109784,0.04344830303589342,0.043448303035893435,0.03850427933358388,0.030491935789033496,0.040463151497489434,0.028626176255003723,0.032777581040462474,0.033854451292151116,0.042125109779189436,0.030842727640610967,0.03547466247980604,0.02891583933894398
数据结构与算法,0.061602443305211974,0.04836049460245849,0.05194985303544037,0.04214026598627091,0.04445184216021339,0.06922642835015935,0.15054782787993748,0.35309124135289666,0.1132220770740089,0.0945358945362422,1.0000000000000002,0.12524812857051085,0.11878092096979753,0.11878092096979753,0.05070529088572339,0.04490258179608871,0.04490258179608872,0.0397930743312895,0.03151254583538207,0.04181751283456514,0.029584336578983857,0.033874695003195274,0.03498760968988114,0.04353509931024571,0.0318750792074184,0.036662051734729514,0.02988369511340555
